name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
HOUSTON GORDON FOR SENATE (FRIENDS OF HOUSTON GORDON),"{1996,1998,2000,2002}",CHARLES W BONE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,TN,C00317701,{S6TN00158},1996-05-02,2001-03-30,1996-05-02
STARKY FOR SENATE 04,{2004},VICTOR J TARDINO JR,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AZ,C00402578,{S0AZ00152},2004-06-23,2004-12-28,2004-07-26
HORNING FOR SENATE COMMITTEE,{2018},"GARDNER, ROBERT",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,IN,C00664631,{S2IN00109},2018-01-02,2018-07-06,2018-01-02
MARY JO WALTERS FOR US SENATE,{2018},MARY JO WALTERS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WI,C00652115,{S8WI00208},2017-07-31,2018-12-06,2017-12-18
WINTER FOR SENATE COMMITTEE,"{1984,1986}",JAMES C RHODEN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00179101,{S4MS00013},1984-03-12,1986-01-10,1984-10-10
FULLER FOR US SENATE,"{2018,2020}",MICHAEL GIBSON,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,FL,C00666172,{S8FL00257},2018-01-08,2018-02-08,2018-01-08
ALLWEDOISWIN,"{2018,2020}","NA, NA",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,IN,C00690636,{},2018-10-27,2018-11-27,2018-10-27
BOOZMAN FOR ARKANSAS,"{2010,2012,2014,2016,2018,2020}",RICK J TANNEBERGER,S,Senate,Q,P,Principal campaign committee,,,BOOZMAN VICTORY 2016,REP,REPUBLICAN PARTY,AR,C00476317,{S0AR00150},2010-02-11,2019-07-15,2016-04-15
HOLLAND FOR SENATE COMMITTEE,{2018},JOSEPH H HOLLAND,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NY,C00667261,{S8NY00207},2018-01-24,2018-04-26,2018-01-24
BRENNAN FOR SENATE 2018,"{2018,2020}","BRENNNAN, OZY",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,CA,C00661967,{S8CA00424},2017-11-29,2017-11-29,2017-11-29
TOM BRUGGERE FOR US SENATE,"{1996,1998,2000}",ROBERT D VAN BROCKLIN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OR,C00312827,{S6OR00300},1996-02-03,2000-08-04,1996-06-24
METCALF FOR U S SENATE,"{1996,1998,2000}",JOHN N CRAFT,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,KY,C00301705,{S6KY00021},1995-03-21,1999-02-19,1995-03-21
COMMITTEE TO ELECT LELA PITTENGER FOR UNITED STATES SENATE,"{2010,2012}",LELA MAE PITTENGER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00473793,{S0TX00217},2010-01-12,2012-08-24,2010-04-20
WILEY FOR SENATE,"{2010,2012}",JEANINE L VALDEZ,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00466284,{S0NV00229},2009-08-26,2011-01-07,2009-11-02
RUN SHARRON ANGLE,"{2016,2018}",ROBERT TESE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00613943,{S0NV00138},2016-03-31,2018-01-05,2016-07-12
FAIRCLOTH FOR US SENATE,"{1996,1998,2000,2002}",BERNARD ANGST,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ME,C00313833,{S6ME00167},1996-02-26,2001-02-16,1996-04-03
