CMTE_ID,CMTE_NM,CMTE_CITY,CMTE_ST,CMTE_ZIP,CAND_ID,FEC_ELECTION_YR
C00675108,JOE MORELLE FOR CONGRESS,ROCHESTER,NY,14609,H8NY25105,2020
C00575050,LAHOOD FOR CONGRESS,PEORIA,IL,61612,H6IL18088,2020
C00575092,FRIENDS OF RAJA FOR CONGRESS,SCHAUMBURG,IL,60168,H6IL08147,2020
C00575126,JAMIE RASKIN FOR CONGRESS,TAKOMA PARK,MD,20913,H6MD08457,2020
C00269837,HASTINGS FOR CONGRESS,FT. LAUDERDALE,FL,33310,H2FL23021,2020
C00674259,DR JOHN JOYCE FOR CONGRESS,ALTOONA,PA,16602,H8PA13125,2020
C00701755,JOY FOR NY,CLIFTON PARK,NY,12065,H0NY20111,2020
C00701722,SIEDENBUEHL FOR CONGRESS,MEDIA,PA,19063,H0PA06142,2020
C00700575,TOM GALLAGHER -- CONGRESS -- 2020,SAN FRANCISCO,CA,94110,H0CA12129,2020
C00710053,FRIENDS OF JOHN FLORA,JERSEY CITY,NJ,7305,H0NJ10190,2020
C00639872,ADRIENNE BELL 2018,PEARLAND,TX,77584,H8TX14120,2020
C00698274,CITIZENS FOR SAM BRANSCUM,DEERFIELD,MI,49238,H0MI07127,2020
C00698555,PHIL SHEPARD FOR CONGRESS,JACKSONVILLE,NC,28540,H0NC03230,2020
C00698993,EHR FOR CONGRESS,PENSACOLA,FL,32503,H8FL01107,2020
C00699538,"RICHARD MENDELSON FOR CONGRESS, INC",COOPER CITY,FL,33330,H0FL23066,2020
C00699694,WILLIAM OLSON FOR CONGRESS,DAVENPORT,FL,33837,H0FL09081,2020
C00258855,VOLUNTEERS FOR SHIMKUS,COLLINSVILLE,IL,622340661,H2IL20042,2020
C00461061,BERA FOR CONGRESS,ELK GROVE,CA,95758,H0CA03078,2020
C00479063,THE BILL KEATING COMMITTEE,BUZZARDS BAY,MA,2532,H0MA10082,2020
C00466516,GIBBS FOR CONGRESS,LAKEVILLE,OH,44638,H0OH18077,2020
C00502179,MARK POCAN FOR CONGRESS,MADISON,WI,53701,H2WI02124,2020
C00503052,JEFFRIES FOR CONGRESS,WASHINGTON,DC,20008,H2NY10092,2020
C00510164,PATRIOTS FOR PERRY,NEW CUMBERLAND,PA,17070,H2PA04135,2020
C00516666,GRACE FOR NEW YORK,FRESH MEADOWS,NY,11365,H2NY06116,2020
C00303305,PETE SESSIONS FOR CONGRESS,DALLAS,TX,753823047,H2TX03126,2020
C00012229,ALASKANS FOR DON YOUNG,ANCHORAGE,AK,995032822,H6AK00045,2020
C00703058,KEAN FOR CONGRESS INC,EDISON,NJ,8818,H0NJ07261,2020
C00707539,VAL FOR CONGRESS,KENILWORTH,IL,60043,H0IL10351,2020
C00707349,MICHAEL BLUEMLING FOR CONGRESS,PALM BEACH,FL,33480,H0FL21045,2020
C00709584,GOMURPH.COM,WILMINGTON,DE,19809,H8DE01044,2020
C00116632,HAL ROGERS FOR CONGRESS,SOMERSET,KY,42502,H0KY05015,2020
C00629949,ALEX MOONEY FOR CONGRESS,MARTINSBURG,WV,25402,H4WV02080,2020
C00633859,DELGADO FOR CONGRESS,RHINEBECK,NY,12572,H8NY19181,2020
C00572602,DAVE GILES FOR CONGRESS,GILBERT,AZ,85295,H6AZ09010,2020
C00140715,HOYER FOR CONGRESS,WASHINGTON,DC,20005,H2MD05155,2020
C00311639,DIANA DEGETTE FOR CONGRESS,DENVER,CO,802068337,H6CO01141,2020
C00330142,LARSON FOR CONGRESS,HARTFORD,CT,61261172,H8CT01046,2020
C00650150,ELISSA SLOTKIN FOR CONGRESS,HOLLY,MI,48442,H8MI08102,2020
C00460550,JEFF DUNCAN FOR CONGRESS,LAURENS,SC,29360,H0SC03077,2020
C00469163,TED DEUTCH FOR CONGRESS COMMITTEE,WASHINGTON,DC,20006,H0FL19080,2020
C00472241,BILL FLORES FOR CONGRESS,BRYAN,TX,77805,H0TX17104,2020
C00477240,MORGAN GRIFFITH FOR CONGRESS,CHRISTIANSBURG,VA,24068,H0VA09055,2020
C00573949,JOSH GOTTHEIMER FOR CONGRESS,RIDGEWOOD,NJ,7451,H6NJ05171,2020
C00575167,DON BACON FOR CONGRESS,OMAHA,NE,68139,H6NE02125,2020
C00637363,JASON CROW FOR CONGRESS,AURORA,CO,80041,H8CO06229,2020
C00638767,CORI BUSH FOR CONGRESS,FLORISSANT,MO,63031,H8MO01143,2020
C00647339,CURTIS FOR CONGRESS,SALT LAKE CITY,UT,84111,H8UT03238,2020
C00393629,MCHENRY FOR CONGRESS,GASTONIA,NC,280532165,H4NC10047,2020
C00588764,COMER FOR CONGRESS,TOMPKINSVILLE,KY,42167,H6KY01110,2020
C00598375,AVA FOR CONGRESS,HOUSTON,TX,77292,H6TX18158,2020
C00420745,LAMBORN FOR CONGRESS,COLORADO SPRINGS,CO,80962,H6CO05159,2020
