name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"JOHNSTON, MICHAEL C",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-16 21:09:24,2019-01-31,2019-01-31,2019-01-31,S0CO00468,2020,f,
"MURPHY, CHRISTOPHER S",S,Senate,DEM,DEMOCRATIC PARTY,CT,00,0,"{00,00,00}","{2012,2018,2024}","{2012,2014,2016,2018,2020}",F,,,2019-05-23 21:05:54,2011-01-20,2019-05-23,2019-05-23,S2CT00132,2024,f,
"DUCKWORTH, L TAMMY",S,Senate,DEM,DEMOCRATIC PARTY,IL,00,0,"{00,00,00}","{2016,2018,2022}","{2016,2018,2020}",F,C,Challenger,2019-08-01 21:25:13,2015-03-30,2019-08-01,2019-08-01,S6IL00292,2022,f,
"BLUNT, ROY",S,Senate,REP,REPUBLICAN PARTY,MO,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-01-11 21:04:54,2009-02-19,2016-12-27,2016-12-27,S0MO00183,2022,f,
"LAPIERRE, MICHAEL JAMES",S,Senate,REP,REPUBLICAN PARTY,SC,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-16 21:17:30,2019-05-22,2019-05-22,2019-05-22,S0SC00313,2020,f,
"CASEY, ROBERT P. JR.",S,Senate,DEM,DEMOCRATIC PARTY,PA,00,0,"{00,00,00,00}","{2006,2012,2018,2024}","{2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-06-26 21:24:11,2005-03-11,2019-06-25,2019-06-25,S6PA00217,2024,f,
"SETHI, DR. MANNY",S,Senate,REP,REPUBLICAN PARTY,TN,00,0,{00},{2020},{2020},C,O,Open seat,2019-07-25 21:14:37,2019-06-07,2019-06-07,2019-06-07,S0TN00144,2020,f,
"RISCH, JAMES E",S,Senate,REP,REPUBLICAN PARTY,ID,00,0,"{00,00,00}","{2008,2014,2020}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,2007-10-09,2015-10-16,2015-10-16,S8ID00092,2020,f,
"MANSFIELD, ERIC",S,Senate,DEM,DEMOCRATIC PARTY,NC,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-06-18,2019-06-18,2019-06-18,S0NC00327,2020,f,
"HIRONO, MAZIE K.",S,Senate,DEM,DEMOCRATIC PARTY,HI,00,0,"{00,00,00}","{2012,2018,2024}","{2012,2014,2016,2018,2020}",F,,,2019-02-25 21:15:37,2011-05-27,2018-11-19,2018-11-19,S2HI00106,2024,f,
"BELL, JEFFREY",S,Senate,REP,REPUBLICAN PARTY,NJ,00,0,"{00,00,00,00,00}","{1978,1982,2014,2018,2020}","{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,1977-05-08,2015-05-25,2015-03-11,S8NJ00012,2020,f,
"TARTER, THOMAS",S,Senate,REP,REPUBLICAN PARTY,IL,00,0,{00},{2020},{2020},N,C,Challenger,2019-06-14 21:08:39,2019-06-13,2019-06-13,2019-06-13,S0IL00527,2020,f,
"ROMANOFF, ANDREW",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,"{00,00}","{2010,2020}","{2010,2012,2014,2016,2018,2020}",C,C,Challenger,2019-06-12 21:08:08,2009-09-05,2019-03-12,2019-03-12,S0CO00286,2020,f,
"ADAMS, ELLIOTT",S,Senate,DEM,DEMOCRATIC PARTY,KS,00,0,{00},{2020},"{2018,2020}",N,O,Open seat,2019-01-08 21:04:16,2017-09-25,2017-10-31,2017-10-31,S0KS00190,2020,f,
"SWEET, BETSY",S,Senate,DEM,DEMOCRATIC PARTY,ME,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-06-14,2019-06-14,2019-06-14,S0ME00103,2020,f,
"MCSALLY, MARTHA",S,Senate,REP,REPUBLICAN PARTY,AZ,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,I,Incumbent,2019-07-05 21:04:58,2018-01-11,2019-07-05,2019-07-05,S8AZ00221,2020,f,
"SESSIONS, JEFFERSON B",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,"{00,00,00,00}","{2002,2008,2014,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,C,Challenger,2018-02-17 09:16:20,1995-10-02,2014-11-14,2014-11-14,S6AL00195,2020,t,{2020}
"HARRIS, NANCY LYNN",S,Senate,DEM,DEMOCRATIC PARTY,ID,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-15 21:09:43,2019-02-19,2019-02-19,2019-02-19,S0ID00149,2020,f,
"TOMLINSON, TERESA PIKE",S,Senate,DEM,DEMOCRATIC PARTY,GA,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-04-30,2019-04-30,2019-04-30,S0GA00393,2020,f,
"VAN HOLLEN, CHRIS",S,Senate,DEM,DEMOCRATIC PARTY,MD,00,0,"{00,00}","{2016,2022}","{2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2015-03-06,2016-11-16,2016-11-16,S6MD03441,2022,f,
"MADDEN, ALICE",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-09,2019-05-09,2019-05-09,S0CO00534,2020,f,
"BOHREN, JENSEN MR",S,Senate,DEM,DEMOCRATIC PARTY,MS,00,0,"{00,00}","{2018,2020}","{2018,2020}",N,C,Challenger,2019-06-14 21:08:39,2017-06-26,2019-05-29,2019-05-29,S8MS00220,2020,f,
"ZORNIO, PATRICIA ANNE",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-16 21:09:24,2019-01-19,2019-01-19,2019-01-19,S0CO00450,2020,f,
"BARRASSO, JOHN A",S,Senate,REP,REPUBLICAN PARTY,WY,00,0,"{00,00,00,00,00}","{1996,2008,2012,2018,2024}","{1996,1998,2008,2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-05-07 21:06:18,1996-01-02,2019-04-16,2019-04-16,S6WY00068,2024,f,
"LUJAN, BEN RAY",S,Senate,DEM,DEMOCRATIC PARTY,NM,00,0,{00},{2020},{2020},C,O,Open seat,2019-06-14 21:08:39,2019-04-01,2019-06-14,2019-06-14,S0NM00058,2020,f,
"LEAHY, PATRICK J",S,Senate,DEM,DEMOCRATIC PARTY,VT,00,0,"{00,00,00,00,00,00,00,00,00}","{1974,1980,1986,1992,1998,2004,2010,2016,2022}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1976-07-08,2017-01-30,2017-01-30,S4VT00017,2022,f,
"MURRAY, PATTY",S,Senate,DEM,DEMOCRATIC PARTY,WA,00,0,"{00,00,00,00,00,00}","{1992,1998,2004,2010,2016,2022}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1991-12-12,2017-02-09,2017-02-09,S2WA00189,2022,f,
"LATURNER, JAKE",S,Senate,REP,REPUBLICAN PARTY,KS,00,0,{00},{2020},{2020},C,O,Open seat,2019-05-21 21:11:30,2019-01-08,2019-01-08,2019-01-08,S0KS00208,2020,f,
"LUMMIS, CYNTHIA MARIE",S,Senate,REP,REPUBLICAN PARTY,WY,00,0,{00},{2020},{2020},C,O,Open seat,2019-07-16 21:17:30,2019-06-20,2019-06-20,2019-06-20,S0WY00137,2020,f,
"MORAN, JERRY",S,Senate,REP,REPUBLICAN PARTY,KS,00,0,"{00,00,00}","{2010,2016,2022}","{2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-05-15 21:19:09,2008-11-07,2019-05-15,2019-05-15,S0KS00091,2022,f,
"SPAULDING, STEPHANY ROSE",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-04-01,2019-04-01,2019-04-01,S0CO00484,2020,f,
"JANICEK, CHRIS EDWARD MR",S,Senate,DEM,DEMOCRATIC PARTY,NE,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,C,Challenger,2019-07-22 21:11:27,2018-04-13,2019-03-13,2019-03-13,S8NE00216,2020,f,
"GIDEON, SARA",S,Senate,DEM,DEMOCRATIC PARTY,ME,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-06-24,2019-06-24,2019-06-24,S0ME00111,2020,f,
"COLLINS, SUSAN M.",S,Senate,REP,REPUBLICAN PARTY,ME,00,0,"{00,00,00,00,00}","{1996,2002,2008,2014,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-07-08 21:04:54,1996-02-22,2019-07-08,2019-07-08,S6ME00159,2020,f,
"STEELE, MICHAEL REVEREND",S,Senate,DEM,DEMOCRATIC PARTY,ND,00,0,{00},{2022},"{2018,2020}",N,,,2018-10-29 21:16:29,2018-10-27,2018-10-29,2018-10-29,S2ND00107,2022,f,
"THUNE, JOHN",S,Senate,REP,REPUBLICAN PARTY,SD,00,0,"{00,00,00,00,00}","{2002,2004,2010,2016,2022}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2001-11-20,2018-03-28,2018-03-28,S2SD00068,2022,f,
"BOOKER, CORY A",S,Senate,DEM,DEMOCRATIC PARTY,NJ,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,2013-05-13,2014-11-21,2014-11-21,S4NJ00185,2020,f,
"ERNST, JONI K",S,Senate,REP,REPUBLICAN PARTY,IA,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-07-15 21:09:43,2013-07-10,2019-07-15,2019-07-15,S4IA00129,2020,f,
"FLANAGAN, PATRICIA",S,Senate,REP,REPUBLICAN PARTY,NJ,00,0,"{00,00}","{2018,2020}","{2018,2020}",N,C,Challenger,2019-06-10 21:08:12,2018-04-20,2019-04-26,2019-04-26,S8NJ00541,2020,f,
"JAMES, JOHN",S,Senate,REP,REPUBLICAN PARTY,MI,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,C,Challenger,2019-09-09 21:06:43,2017-07-17,2019-06-06,2019-06-06,S8MI00372,2020,f,
